fid,left,top,right,bottom,terrainEle,terrainSlo,terrainAsp,surfaceEle,surfaceSlo,surfaceAsp,isOnsite,isZoned,zoneName,isForest,landCoverI,waterType,roadType,isRoad,isHedge,terSurfDif,hasSurfFea,isWater
36439,501968.5738,132781.4615,501970.8832,132779.4615,27.76064936,3.42079091,120.4498262,27.77066612,3.25918015,240.5938994,false,false,,false,4,,,false,false,0.01,false,false
36440,501968.5738,132779.4615,501970.8832,132777.4615,27.87731616,2.82874711,15.77904383,27.87733332,2.93729107,129.7697255,false,false,,false,4,,,false,false,0,false,false
36441,501968.5738,132777.4615,501970.8832,132775.4615,28.00731659,4.50447249,18.76811155,28.01733398,4.26461895,11.90278784,false,false,,false,4,,,false,false,0.01,false,false
36442,501968.5738,132775.4615,501970.8832,132773.4615,28.09731611,1.35704507,26.03736401,28.1073335,0.97241699,109.4411407,false,false,,false,4,,,false,false,0.01,false,false
36443,501968.5738,132773.4615,501970.8832,132771.4615,28.12064934,1.46752419,16.5035855,28.1206665,1.25647672,130.8140494,false,false,,false,4,,,false,false,0,false,false
36444,501968.5738,132771.4615,501970.8832,132769.4615,28.18398285,2.57453124,17.61793073,28.18400002,2.54954195,19.26385625,false,false,,false,4,,,false,false,0,false,false
36445,501968.5738,132769.4615,501970.8832,132767.4615,28.29731687,1.94251124,27.83466434,28.2973334,1.95547452,20.56756624,false,false,,false,4,,,false,false,0,false,false
36446,501968.5738,132767.4615,501970.8832,132765.4615,28.31731669,1.48008718,30.84385872,28.3239994,1.36737674,17.22003078,false,false,,false,4,,,false,false,0.007,false,false
36447,501968.5738,132765.4615,501970.8832,132763.4615,28.38398298,1.99044138,28.45105616,28.38399951,1.96732656,20.23120626,false,false,,false,4,,,false,false,0,false,false
36448,501968.5738,132763.4615,501970.8832,132761.4615,28.40731621,1.33241208,53.59334183,28.43066661,1.4880269,40.64976947,false,false,,false,4,,,false,false,0.023,false,false
36449,501968.5738,132761.4615,501970.8832,132759.4615,28.45731672,1.99338071,54.05861537,28.4773337,2.85667586,40.19302622,false,false,,false,4,,,false,false,0.02,false,false
36450,501968.5738,132759.4615,501970.8832,132757.4615,28.49398359,2.38622554,27.67731057,28.52733358,2.51838934,69.29363759,false,false,,false,4,,,false,false,0.033,false,false
36451,501968.5738,132757.4615,501970.8832,132755.4615,28.56398328,1.65238229,45.26515261,28.57733281,1.65948586,28.61132956,false,false,,false,4,,,false,false,0.013,false,false
36452,501968.5738,132755.4615,501970.8832,132753.4615,28.62064997,1.9504863,25.73663966,28.62733332,1.53686043,35.39709155,false,false,,false,4,,,false,false,0.007,false,false
36453,501968.5738,132753.4615,501970.8832,132751.4615,28.65064939,0.83263361,80.62033335,28.66066615,1.58468143,65.58314896,false,false,,false,4,,,false,false,0.01,false,false
36454,501968.5738,132751.4615,501970.8832,132749.4615,28.66398239,1.35748494,39.38329442,28.6773332,1.60251963,58.82136917,false,false,,false,4,,,false,false,0.013,false,false
36455,501968.5738,132749.4615,501970.8832,132747.4615,28.68731626,1.74091474,79.2504425,28.68733342,1.68620686,91.5447998,false,false,,false,4,,,false,false,0,false,false
36456,501968.5738,132747.4615,501970.8832,132745.4615,28.70731608,1.55798207,66.67304611,28.71066666,1.72544138,67.19369253,false,false,,false,4,,,false,false,0.003,false,false
36457,501968.5738,132745.4615,501970.8832,132743.4615,28.71398354,1.33187377,95.66398366,28.7240003,1.32237206,76.9302597,false,false,,false,4,,,false,false,0.01,false,false
36458,501968.5738,132743.4615,501970.8832,132741.4615,28.71398354,1.5483166,76.33206431,28.7140007,1.75498776,93.18117015,false,false,,false,4,,,false,false,0,false,false
36459,501968.5738,132741.4615,501970.8832,132739.4615,28.7273159,1.31635372,74.51884969,28.72733307,1.93787086,67.63152059,false,false,,false,4,,,false,false,0,false,false
36460,501968.5738,132739.4615,501970.8832,132737.4615,28.75731595,1.46532456,22.19438998,28.77066612,1.49786683,21.58206781,false,false,,false,4,,,false,false,0.013,false,false
36461,501968.5738,132737.4615,501970.8832,132735.4615,28.78731664,1.50924242,86.6062266,28.80400085,1.31921582,111.1450399,false,false,,false,4,,,false,false,0.017,false,false
36462,501968.5738,132735.4615,501970.8832,132733.4615,28.773983,1.85390019,96.6469396,28.7840004,1.83899224,89.18023427,false,false,,false,4,,,false,false,0.01,false,false
36463,501968.5738,132733.4615,501970.8832,132731.4615,28.78064982,1.99134155,68.02262624,28.80733299,2.11145604,73.99373881,false,false,,false,4,,,false,false,0.027,false,false
36464,501968.5738,132731.4615,501970.8832,132729.4615,28.80731646,2.01452609,100.9874853,28.80733299,2.08949073,107.3920314,false,false,,false,4,,,false,false,0,false,false
36465,501968.5738,132729.4615,501970.8832,132727.4615,28.77064959,1.59635806,99.19293467,28.77066676,1.40364003,79.15019099,false,false,,false,4,,,false,false,0,false,false
36466,501968.5738,132727.4615,501970.8832,132725.4615,28.773983,1.54860846,110.3581518,28.80400022,0.8974611,123.9331665,false,false,,false,4,,,false,false,0.03,false,false
36467,501968.5738,132725.4615,501970.8832,132723.4615,28.75398254,1.4452097,97.60453796,28.76399994,0.92424397,92.37429301,false,false,,false,4,,,false,false,0.01,false,false
36468,501968.5738,132723.4615,501970.8832,132721.4615,28.75064913,1.08846986,81.74186198,28.77733358,1.00450061,112.9149933,false,false,,false,4,,,false,false,0.027,false,false
36469,501968.5738,132721.4615,501970.8832,132719.4615,28.75064913,0.69603556,93.71566772,28.76066653,0.95735914,64.60004679,false,false,,false,4,,,false,false,0.01,false,false
36470,501968.5738,132719.4615,501970.8832,132717.4615,28.75731595,1.05357975,42.75717926,28.75733312,1.27691561,77.79123179,false,false,,false,4,,,false,false,0,false,false
36471,501968.5738,132717.4615,501970.8832,132715.4615,28.76731618,1.05096571,104.2956162,28.76733335,1.07179072,102.607638,false,false,,false,4,,,false,false,0,false,false
36472,501968.5738,132715.4615,501970.8832,132713.4615,28.77731641,0.81808562,116.9090958,28.77733358,1.01436017,92.53951263,false,false,,false,4,,,false,false,0,false,false
36473,501968.5738,132713.4615,501970.8832,132711.4615,28.74731636,1.46258926,108.0961075,28.75399971,0.85652854,94.6282196,false,false,,false,4,,,false,false,0.007,false,false
36474,501968.5738,132711.4615,501970.8832,132709.4615,28.7373155,1.02419293,102.1438955,28.74733289,0.89690683,102.0848007,false,false,,false,4,,,false,false,0.01,false,false
36475,501968.5738,132709.4615,501970.8832,132707.4615,28.71731695,1.49030828,132.0844116,28.74400012,1.43600607,139.8854065,false,false,,false,4,,,false,false,0.027,false,false
36476,501968.5738,132707.4615,501970.8832,132705.4615,28.65731684,1.79131031,150.0564524,28.68066661,1.38594198,155.9977773,false,false,,false,4,,,false,false,0.023,false,false
36477,501968.5738,132705.4615,501970.8832,132703.4615,28.65065002,0.8592279,94.01752726,28.66399956,1.06323967,134.4107107,false,false,,false,4,,,false,false,0.013,false,false
36478,501968.5738,132703.4615,501970.8832,132701.4615,28.61731656,1.59489046,151.8247579,28.61733373,1.62271577,157.250824,false,false,,false,4,,,false,false,0,false,false
36479,501968.5738,132701.4615,501970.8832,132699.4615,28.61069679,0.91247296,100.2840614,28.61066691,0.89900631,125.3151296,false,false,,false,4,,,false,false,0,false,false
36480,501968.5738,132699.4615,501970.8832,132697.4615,28.58745702,1.00658399,143.5200958,28.62066714,0.81919474,170.9077759,false,false,,false,4,,,false,false,0.033,false,false
36481,501968.5738,132697.4615,501970.8832,132695.4615,28.58745702,1.0324868,53.43966929,28.58733304,1.09668618,69.55256399,false,false,,false,4,,,false,false,0,false,false
36482,501968.5738,132695.4615,501970.8832,132693.4615,28.60079066,1.57432616,59.94823201,28.61066691,1.46494091,62.79203669,false,false,,false,4,,,false,false,0.01,false,false
36483,501968.5738,132693.4615,501970.8832,132691.4615,28.62079112,1.93961263,105.7235158,28.6206665,1.82119211,103.7010752,false,false,,false,4,,,false,false,0,false,false
36484,501968.5738,132691.4615,501970.8832,132689.4615,28.61079089,1.59202151,120.4851049,28.61400032,1.00619469,114.9939067,false,false,,false,4,,,false,false,0.003,false,false
36485,501968.5738,132689.4615,501970.8832,132687.4615,28.54745738,2.03827862,159.6119843,28.57066663,2.60544682,158.7364197,false,false,,false,4,,,false,false,0.023,false,false
36486,501968.5738,132687.4615,501970.8832,132685.4615,28.48412387,2.26110915,148.5383657,28.48399989,2.27946548,145.6086833,false,false,,false,4,,,false,false,0,false,false
36487,501968.5738,132685.4615,501970.8832,132683.4615,28.41079076,1.81593291,135.9222539,28.41066615,1.62852595,146.3729375,false,false,,false,4,,,false,false,0,false,false
36488,501968.5738,132683.4615,501970.8832,132681.4615,28.39079094,1.5718054,140.1057841,28.39066633,1.46373343,151.027003,false,false,,false,4,,,false,false,0,false,false
36489,501968.5738,132681.4615,501970.8832,132679.4615,28.37412453,1.58417344,113.5500539,28.39066633,1.69755129,102.1911341,false,false,,false,4,,,false,false,0.017,false,false
36490,501968.5738,132679.4615,501970.8832,132677.4615,28.32412402,1.88009242,158.0600739,28.32400004,1.90641685,151.9215241,false,false,,false,4,,,false,false,0,false,false
36491,501968.5738,132677.4615,501970.8832,132675.4615,28.26745733,1.11412024,167.367691,28.28066699,1.34093626,151.1277771,false,false,,false,4,,,false,false,0.013,false,false
36492,501968.5738,132675.4615,501970.8832,132673.4615,28.22745705,1.3451522,184.9100545,28.2373333,0.72679547,144.0054143,false,false,,false,4,,,false,false,0.01,false,false
36493,501968.5738,132673.4615,501970.8832,132671.4615,28.19412422,0.76147897,119.2850876,28.21066729,1.41143926,139.679423,false,false,,false,4,,,false,false,0.017,false,false
36494,501968.5738,132671.4615,501970.8832,132669.4615,28.20079104,1.58796124,69.70448939,28.20733325,1.47151299,48.95369085,false,false,,false,4,,,false,false,0.007,false,false
36495,501968.5738,132669.4615,501970.8832,132667.4615,28.23745728,1.41098603,71.22743861,28.2373333,0.9065725,71.75674947,false,false,,false,4,,,false,false,0,false,false
36496,501968.5738,132667.4615,501970.8832,132665.4615,28.23079046,1.55786367,93.19732666,28.25733376,1.8946536,79.70143382,false,false,,false,4,,,false,false,0.027,false,false
36497,501968.5738,132665.4615,501970.8832,132663.4615,28.26079114,1.70868343,68.04857127,28.2973334,1.92767914,74.01507441,false,false,,false,4,,,false,false,0.037,false,false
36498,501968.5738,132663.4615,501970.8832,132661.4615,28.26412392,1.53480836,18.82023048,28.2840004,1.80939706,155.4340045,false,false,,false,4,,,false,false,0.02,false,false
36499,501968.5738,132661.4615,501970.8832,132659.4615,28.34745789,2.35120495,39.00995668,28.34733264,2.27628875,39.08127991,false,false,,false,4,,,false,false,0,false,false
36500,501968.5738,132659.4615,501970.8832,132657.4615,28.36079089,1.600205,61.79631678,28.36399968,1.67809045,44.58467102,false,false,,false,4,,,false,false,0.003,false,false
36501,501968.5738,132657.4615,501970.8832,132655.4615,28.40079117,1.34405601,32.99047343,28.41066678,1.43960635,53.21823883,false,false,,false,4,,,false,false,0.01,false,false
36502,501968.5738,132655.4615,501970.8832,132653.4615,28.44745763,1.06846897,50.66360792,28.45066706,0.98620123,45,false,false,,false,4,,,false,false,0.003,false,false
36503,501968.5738,132653.4615,501970.8832,132651.4615,28.44745763,0.61247535,45.47524198,28.46733411,0.74869638,233.734122,false,false,,false,4,,,false,false,0.02,false,false
36504,501968.5738,132651.4615,501970.8832,132649.4615,28.47412427,1.05455878,140.0358302,28.49066671,0.77149705,127.0549701,false,false,,false,4,,,false,false,0.017,false,false
36505,501968.5738,132649.4615,501970.8832,132647.4615,28.52079074,2.32840196,27.94958909,28.55066681,1.99966939,140.4310182,false,false,,false,4,,,false,false,0.03,false,false
36506,501968.5738,132647.4615,501970.8832,132645.4615,28.57745743,1.70826868,137.1485558,28.58733368,2.19786839,130.2873122,false,false,,false,4,,,false,false,0.01,false,false
36507,501968.5738,132645.4615,501970.8832,132643.4615,28.64745776,1.90688066,17.75506274,28.67066701,1.73183894,31.62274679,false,false,,false,4,,,false,false,0.023,false,false
36508,501968.5738,132643.4615,501970.8832,132641.4615,28.70079104,1.03620682,61.8707873,28.73066648,1.51534438,60.25807953,false,false,,false,4,,,false,false,0.03,false,false
36509,501968.5738,132641.4615,501970.8832,132639.4615,28.72745768,2.83724531,30.2433122,28.73733393,2.56635316,34.88247617,false,false,,false,4,,,false,false,0.01,false,false
36510,501968.5738,132639.4615,501970.8832,132637.4615,28.80745761,2.09964049,78.89565023,28.80733299,1.67654049,65.41949336,false,false,,false,4,,,false,false,0,false,false
36511,501968.5738,132637.4615,501970.8832,132635.4615,28.8174572,1.88767048,48.89039548,28.82400004,1.47160796,57.8926506,false,false,,false,4,,,false,false,0.007,false,false
36512,501968.5738,132635.4615,501970.8832,132633.4615,28.85745748,1.14609764,38.06835874,28.8573335,1.24892529,147.7747866,false,false,,false,4,,,false,false,0,false,false
36513,501968.5738,132633.4615,501970.8832,132631.4615,28.88079071,1.36399599,18.25438563,28.89066696,1.70636646,11.9102149,false,false,,false,4,,,false,false,0.01,false,false
