fid,left,top,right,bottom,terrainEle,terrainSlo,terrainAsp,surfaceEle,surfaceSlo,surfaceAsp,isOnsite,isZoned,zoneName,isForest,landCoverI,waterType,roadType,isRoad,isHedge,terSurfDif,hasSurfFea,isWater
80201,502150.4392,132828.4615,502152.7486,132826.4615,23.69647169,1.65184301,226.4427033,23.69150019,1.33334947,247.2363548,false,false,,false,4,,,false,false,-0.005,false,false
80202,502150.4392,132826.4615,502152.7486,132824.4615,23.64397192,1.76178986,214.6270599,23.63649988,2.3098301,209.5026512,false,false,,false,4,,,false,false,-0.007,false,false
80203,502150.4392,132824.4615,502152.7486,132822.4615,23.59897137,1.54076327,201.1944199,23.58399963,1.4102013,198.493042,false,false,,false,4,,,false,false,-0.015,false,false
80204,502150.4392,132822.4615,502152.7486,132820.4615,23.56647158,1.53119317,242.3965492,23.56650066,2.2476013,235.7364197,false,false,,false,4,,,false,false,0,false,false
80205,502150.4392,132820.4615,502152.7486,132818.4615,23.56647205,1.72393647,267.6780624,23.56899977,2.01253432,271.4941788,false,false,,false,4,,,false,false,0.003,false,false
80206,502150.4392,132818.4615,502152.7486,132816.4615,23.57147169,1.64232522,280.5764771,23.5715003,1.79731557,289.836174,false,false,,false,4,,,false,false,0,false,false
80207,502150.4392,132816.4615,502152.7486,132814.4615,23.58147144,1.38627067,281.3687286,23.57399988,1.53444239,268.7564964,false,false,,false,4,,,false,false,-0.007,false,false
80208,502150.4392,132814.4615,502152.7486,132812.4615,23.59897137,0.78544904,304.237381,23.60900021,0.8772906,321.8516617,false,false,,false,4,,,false,false,0.01,false,false
80209,502150.4392,132812.4615,502152.7486,132810.4615,23.58897114,0.80210175,190.23312,23.61400032,1.01493722,181.614521,false,false,,false,4,,,false,false,0.025,false,false
80210,502150.4392,132810.4615,502152.7486,132808.4615,23.55897236,1.01128815,193.7741661,23.56150007,1.01902094,190.2758598,false,false,,false,4,,,false,false,0.003,false,false
80211,502150.4392,132808.4615,502152.7486,132806.4615,23.53147173,0.9876471,195.4849472,23.53650045,1.14895849,194.0849075,false,false,,false,4,,,false,false,0.005,false,false
80212,502150.4392,132806.4615,502152.7486,132804.4615,23.48897123,1.33899131,184.713974,23.48150015,1.07183819,186.9171219,false,false,,false,4,,,false,false,-0.007,false,false
80213,502150.4392,132804.4615,502152.7486,132802.4615,23.45397186,0.99464579,211.1737709,23.45400047,1.2700775,196.1784477,false,false,,false,4,,,false,false,0,false,false
80214,502150.4392,132802.4615,502152.7486,132800.4615,23.41647148,1.62593997,225.7368012,23.40649986,1.86668256,221.3411522,false,false,,false,4,,,false,false,-0.01,false,false
80215,502150.4392,132800.4615,502152.7486,132798.4615,23.37411451,1.16385806,219.7474136,23.37150002,1.37777753,185.0140991,false,false,,false,4,,,false,false,-0.003,false,false
80216,502150.4392,132798.4615,502152.7486,132796.4615,23.37661505,0.8395353,200.0334482,23.36650038,1.44434364,178.3619165,false,false,,false,4,,,false,false,-0.01,false,false
80217,502150.4392,132796.4615,502152.7486,132794.4615,23.36411476,1.0077184,151.0784664,23.36150026,1.08959536,155.3004532,false,false,,false,4,,,false,false,-0.003,false,false
80218,502150.4392,132794.4615,502152.7486,132792.4615,23.35161448,0.88785471,174.0924835,23.33649969,1.02679993,159.7430935,false,false,,false,4,,,false,false,-0.015,false,false
